Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37856121
Albania,ALB,"Population, total",SP.POP.TOTL,2854191
Algeria,DZA,"Population, total",SP.POP.TOTL,43294546
American Samoa,ASM,"Population, total",SP.POP.TOTL,50209
Andorra,AND,"Population, total",SP.POP.TOTL,76474
Angola,AGO,"Population, total",SP.POP.TOTL,32375632
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,91364
Argentina,ARG,"Population, total",SP.POP.TOTL,44973465
Armenia,ARM,"Population, total",SP.POP.TOTL,2962500
Aruba,ABW,"Population, total",SP.POP.TOTL,109203
Australia,AUS,"Population, total",SP.POP.TOTL,25334826
Austria,AUT,"Population, total",SP.POP.TOTL,8879920
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10024283
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,394675
Bahrain,BHR,"Population, total",SP.POP.TOTL,1483756
Bangladesh,BGD,"Population, total",SP.POP.TOTL,164913055
Barbados,BRB,"Population, total",SP.POP.TOTL,281207
Belarus,BLR,"Population, total",SP.POP.TOTL,9419758
Belgium,BEL,"Population, total",SP.POP.TOTL,11488980
Belize,BLZ,"Population, total",SP.POP.TOTL,385829
Benin,BEN,"Population, total",SP.POP.TOTL,12726755
Bermuda,BMU,"Population, total",SP.POP.TOTL,64107
Bhutan,BTN,"Population, total",SP.POP.TOTL,764824
Bolivia,BOL,"Population, total",SP.POP.TOTL,11671386
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3345533
Botswana,BWA,"Population, total",SP.POP.TOTL,2332083
Brazil,BRA,"Population, total",SP.POP.TOTL,207455459
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,36395
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,442680
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6616726
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,20961952
Burundi,BDI,"Population, total",SP.POP.TOTL,12255336
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,514104
Cambodia,KHM,"Population, total",SP.POP.TOTL,16481304
Cameroon,CMR,"Population, total",SP.POP.TOTL,25506095
Canada,CAN,"Population, total",SP.POP.TOTL,37618495
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,67327
